k,0,1,2
1,0.9722222222222222,0.9166666666666666,0.9444444444444444
2,1.0,0.9166666666666666,0.9722222222222222
4,1.0,0.9444444444444444,0.9722222222222222
5,1.0,0.9444444444444444,0.9444444444444444
10,0.9722222222222222,0.9166666666666666,0.9722222222222222
16,0.9722222222222222,0.9444444444444444,0.9722222222222222
20,0.9722222222222222,0.9444444444444444,0.9722222222222222
31,0.9722222222222222,0.9444444444444444,0.9722222222222222
40,0.9722222222222222,0.9444444444444444,0.9722222222222222
50,0.9722222222222222,0.9166666666666666,0.9722222222222222
